Silence_resp.keys,Silence_resp.rt,Consent_resp.keys,Consent_resp.rt,Lang_resp.keys,Lang_resp.rt,Race_resp.keys,Race_resp.rt,xxx.thisRepN,xxx.thisTrialN,xxx.thisN,xxx.thisIndex,xxx.ran,participant,date,expName,psychopyVersion,OS,frameRate,OGTIns1_resp.keys,OGTIns1_resp.rt,Missing_resp.keys,face_trials.thisRepN,face_trials.thisTrialN,face_trials.thisN,face_trials.thisIndex,face_trials.ran,missingPerson,sex,name,PMIns1_resp.keys,PM_INS_LOOP.thisRepN,PM_INS_LOOP.thisTrialN,PM_INS_LOOP.thisN,PM_INS_LOOP.thisIndex,PM_INS_LOOP.ran,FinalRecalIns_resp.keys,FinalRecalIns_resp.rt,finalrecall_subid,finalrecall_date,finalrecall_exp,finalrecall_cond,finalrecall_word,finalcuerecall_trialCounter,finalrecall_typedWord,finalrecall_wordRT,finalrecall_recallList,finalrecall_startTrial,finalrecall_endTrial,finalrecall_elapsedTime,finalrecall_startRecallTime,FinalRecall_Loop.thisRepN,FinalRecall_Loop.thisTrialN,FinalRecall_Loop.thisN,FinalRecall_Loop.thisIndex,FinalRecall_Loop.ran,OGT_resp.keys,OGT_resp.corr,OGT_resp.rt,ogt_subid,ogt_date,ogt_exp,ogt_cond,ogt_trialnum,ogt_word,ogt_img,ogt_class,ogt_color,ogt_cue,ogt_resp,ogt_rt,OGTWaiting_resp.keys,OGTWaiting_resp.rt,OGTWait_resp,OGTWait_rt,OGT_trials.thisRepN,OGT_trials.thisTrialN,OGT_trials.thisN,OGT_trials.thisIndex,OGT_trials.ran,Word,OldWord,OldStimClass,StimClass,CorrAns,StimColor,Wordlist_Ogg,Wordlist_MP3,Trial,Cue,imageFile,iposX,iposY,StimDir,EmotClass,FaceNum,imageFile1,imageFile2,imageFile3,imageFile4,OGT_Loop.thisRepN,OGT_Loop.thisTrialN,OGT_Loop.thisN,OGT_Loop.thisIndex,OGT_Loop.ran,studyFaceList,Recog_Ins_resp.keys,Recog_Ins_resp.rt,Recog_resp.keys,Recog_resp.rt,recog_subid,recog_date,recog_exp,recog_cond,recog_race,recog_lang,recog_trialnum,recog_word,recog_img,recog_resp,recog_rt,recog_studyList,recog_studyList0,recog_studyList1,recog_studyList2,recog_listPos,recog_listNeg,recog_listHO,recog_listHC,recog_listA,recog_listF,Recog_LOOP.thisRepN,Recog_LOOP.thisTrialN,Recog_LOOP.thisN,Recog_LOOP.thisIndex,Recog_LOOP.ran,ImageFile1,Debrief_resp.keys,Debrief_resp.rt,Thankyou_resp.keys,EXP.thisRepN,EXP.thisTrialN,EXP.thisN,EXP.thisIndex,EXP.ran
space,1.91902,y,110.81198,n,5.943165,5,6.8197,0,0,0,0,1,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,space,20.001885,,0,0,0,1,1,CFD-BF-250-121-N-resized.jpg,Female,Stacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,space,6.350485,13597,2020-09-29_15h01.50.074,pmfbcont,pmface-cont-black,TENT,1,TENT,2.31063,"[""TENT""]",187.837915,190.14854,2.314075,187.8341,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,pmface-cont-black,TRAILMIX,2,TRAILMIX,7.61586,"[""TENT"",""TRAILMIX""]",190.14938,197.76524,9.931025,187.8341,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,pmface-cont-black,HIKINGBOOTS,3,HIKINGBOOTS,3.315265,"[""TENT"",""TRAILMIX"",""HIKINGBOOTS""]",197.766625,201.081885,13.247675,187.8341,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,pmface-cont-black,TOILETPAPER,4,TOILETPAPER,6.26597,"[""TENT"",""TRAILMIX"",""HIKINGBOOTS"",""TOILETPAPER""]",201.083415,207.34938,19.51519,187.8341,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,pmface-cont-black,SLEEPINGBAG,5,SLEEPINGBAG,3.764505,"[""TENT"",""TRAILMIX"",""HIKINGBOOTS"",""TOILETPAPER"",""SLEEPINGBAG""]",207.350525,211.11503,23.28086,187.8341,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,pmface-cont-black,WATERBOTTLE,6,WATERBOTTLE,3.049685,"[""TENT"",""TRAILMIX"",""HIKINGBOOTS"",""TOILETPAPER"",""SLEEPINGBAG"",""WATERBOTTLE""]",211.11581,214.16549,26.33128,187.8341,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,13597,2020-09-29_15h01.50.074,pmfbcont,pmface-cont-black,GPS,7,GPS,1.915195,"[""TENT"",""TRAILMIX"",""HIKINGBOOTS"",""TOILETPAPER"",""SLEEPINGBAG"",""WATERBOTTLE"",""GPS""]",214.166915,216.08211,28.24791,187.8341,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
